MovieId,CrewId,Name,Role
9453,58021,Tinto Brass,Director
9453,43704,Franco Rossellini,Producer
9453,58022,Bob Guccione,Producer
136400,67813,Baltasar Kormákur,Director
136400,198084,Andrew Cosby,Producer
136400,17211,Randall Emmett,Producer
136400,17210,George Furla,Producer
136400,96357,Norton Herrick,Producer
136400,1105705,Ross Richie,Producer
136400,73453,Adam Siegel,Producer
136400,23485,Marc Platt,Producer
259611,192830,Michael Berry,Director
557,7623,Sam Raimi,Director
557,7624,Stan Lee,Producer
557,9987,Ian Bryce,Producer
557,7627,Laura Ziskin,Producer
109451,12095,Cody Cameron,Director
109451,1046494,Kris Pearn,Director
109451,970590,Kirk Bodyfelt,Producer
22,1704,Gore Verbinski,Director
22,770,Jerry Bruckheimer,Producer
52520,3953,Gary Lucchesi,Producer
52520,68602,Tom Rosenberg,Producer
52520,3954,Richard S. Wright,Producer
52520,80923,Måns Mårlind,Director
52520,80924,Björn Stein,Director
52520,3950,Len Wiseman,Producer
256687,228311,Keith Parmer,Director
256687,1021244,Eleonore Dailly,Producer
256687,1295506,Chris Ranta,Producer
119450,266920,Peter Chernin,Producer
119450,935717,Dylan Clark,Producer
119450,32278,Matt Reeves,Director
24418,3289,Paul Weitz,Director
87101,47005,Alan Taylor,Director
72190,12995,Marc Forster,Director
72190,9987,Ian Bryce,Producer
72190,20458,Dede Gardner,Producer
72190,967387,Jeremy Kleiner,Producer
72190,287,Brad Pitt,Producer
243935,99496,Raymond De Felitta,Director
238636,53120,James DeMonaco,Director
157823,56383,Kelly Reichardt,Director
157823,1355491,Saemi Kim,Producer
157823,20487,Neil Kopp,Producer
157823,40974,Christiane Maybach,Producer
157823,47099,Anish Savjani,Producer
157823,1300796,Rodrigo Teixeira,Producer
238301,228102,Raimund Huber,Director
184315,11091,Brett Ratner,Director
152790,23968,Phil Alden Robinson,Director
152790,57174,Bob Cooper,Producer
152790,207213,Tyler Mitchell,Producer
152790,1133359,Daniel J. Walker,Producer
534,36425,McG,Director
534,81142,Derek Anderson,Producer
534,20295,Moritz Borman,Producer
534,964905,Victor Kubicek,Producer
534,20908,Jeffrey Silver,Producer
64807,13426,Peter Segal,Director
47964,1056038,Wyck Godfrey,Producer
47964,113665,Alex Young,Producer
47964,12028,John Moore,Director
227961,222203,Cris D'amato,Director
227933,934987,José Eduardo Belmonte,Director
227933,1300796,Rodrigo Teixeira,Producer
227933,1300797,Raphael Mesquita,Producer
227933,1300798,Angelo Defanti,Producer
224951,168480,Kimani Ray Smith,Director
27205,525,Christopher Nolan,Producer
27205,556,Emma Thomas,Producer
27205,525,Christopher Nolan,Director
158914,172,Michael Winterbottom,Director
174316,939123,Kat Coiro,Director
192538,1174090,Farren Blackburn,Director
192538,41538,Rupert Preston,Producer
192538,1206105,Huberta Von Liel,Producer
10191,12894,Bonnie Arnold,Producer
10191,69797,Dean DeBlois,Director
10191,66193,Chris Sanders,Director
62211,225976,Dan Scanlon,Director
62211,7880,Kori Rae,Producer
80321,18863,Eric Darnell,Director
80321,56671,Mireille Soria,Producer
80321,51909,Mark Swift,Producer
80321,18864,Tom McGrath,Director
80321,12080,Conrad Vernon,Director
49519,71267,Kirk De Micco,Director
49519,66193,Chris Sanders,Director
49519,138616,Kristine Belson,Producer
49519,12067,Jane Hartwell,Producer
44874,80948,William Lau,Director
273743,1331465,Andrew Hyatt,Director
82675,75035,Olivier Megaton,Director
82675,59,Luc Besson,Producer
193756,36602,Peter Berg,Director
193756,50769,Sarah Aubrey,Producer
193756,17211,Randall Emmett,Producer
193756,5575,Akiva Goldsman,Producer
193756,96357,Norton Herrick,Producer
193756,1225874,Stephen Levinson,Producer
193756,14895,Barry Spikings,Producer
193756,13240,Mark Wahlberg,Producer
76285,109857,Thor Freudenthal,Director
76285,10965,Chris Columbus,Producer
46195,5714,Carlos Saldanha,Director
46195,5718,John C. Donkin,Producer
46195,535878,Bruce Anderson,Producer
272158,144941,Osamu Kaneda,Director
121,108,Peter Jackson,Producer
121,123,Barrie M. Osborne,Producer
121,108,Peter Jackson,Director
